date,time,temp,dewpoint,humidity,wind,windspeed,windgust,pressurre,precip,condit
1/1/19,10:20 AM,45 å¡F,41 å¡F,87%,WSW,12 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
1/1/19,10:50 AM,45 å¡F,41 å¡F,87%,W,12 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
1/1/19,11:20 AM,45 å¡F,41 å¡F,87%,W,13 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
1/1/19,11:50 AM,45 å¡F,41 å¡F,87%,W,13 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
1/1/19,12:20 PM,45 å¡F,43 å¡F,93%,W,13 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
1/1/19,12:50 PM,46 å¡F,43 å¡F,87%,W,14 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
1/1/19,1:20 PM,45 å¡F,43 å¡F,93%,W,12 mph,0 mph,30.28 in,0.0 in,Light Drizzle
1/1/19,1:50 PM,45 å¡F,45 å¡F,100%,W,12 mph,0 mph,30.28 in,0.0 in,Light Drizzle
1/1/19,2:20 PM,46 å¡F,45 å¡F,93%,W,13 mph,0 mph,30.28 in,0.0 in,Light Drizzle
1/1/19,2:50 PM,46 å¡F,45 å¡F,93%,W,14 mph,0 mph,30.28 in,0.0 in,Light Drizzle
1/1/19,3:20 PM,46 å¡F,45 å¡F,93%,W,13 mph,0 mph,30.28 in,0.0 in,Light Drizzle
1/1/19,3:50 PM,46 å¡F,45 å¡F,93%,WNW,12 mph,0 mph,30.28 in,0.0 in,Light Drizzle
1/1/19,4:20 PM,46 å¡F,45 å¡F,93%,WNW,10 mph,0 mph,30.28 in,0.0 in,Mist
1/1/19,4:50 PM,46 å¡F,45 å¡F,93%,NW,12 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
1/1/19,5:20 PM,46 å¡F,43 å¡F,87%,NNW,10 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
1/1/19,5:50 PM,46 å¡F,41 å¡F,81%,NNW,9 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
1/1/19,6:20 PM,46 å¡F,41 å¡F,81%,NNW,10 mph,0 mph,30.33 in,0.0 in,Mostly Cloudy
1/1/19,6:50 PM,45 å¡F,41 å¡F,87%,NW,9 mph,0 mph,30.33 in,0.0 in,Mostly Cloudy
1/1/19,7:20 PM,45 å¡F,39 å¡F,81%,NW,10 mph,0 mph,30.33 in,0.0 in,Mostly Cloudy
1/1/19,7:50 PM,45 å¡F,39 å¡F,81%,NW,9 mph,0 mph,30.33 in,0.0 in,Mostly Cloudy
1/1/19,8:20 PM,45 å¡F,37 å¡F,76%,NW,10 mph,0 mph,30.36 in,0.0 in,Mostly Cloudy
1/1/19,8:50 PM,43 å¡F,37 å¡F,81%,NW,12 mph,0 mph,30.36 in,0.0 in,Mostly Cloudy
1/1/19,9:20 PM,43 å¡F,37 å¡F,81%,NW,15 mph,0 mph,30.36 in,0.0 in,Light Rain Shower
1/1/19,9:50 PM,43 å¡F,37 å¡F,81%,NW,8 mph,0 mph,30.36 in,0.0 in,Fair
1/1/19,10:20 PM,43 å¡F,37 å¡F,81%,NW,8 mph,0 mph,30.39 in,0.0 in,Fair
1/1/19,10:50 PM,41 å¡F,36 å¡F,81%,NW,8 mph,0 mph,30.39 in,0.0 in,Mostly Cloudy
1/1/19,11:20 PM,41 å¡F,36 å¡F,81%,NW,9 mph,0 mph,30.39 in,0.0 in,Fair
1/1/19,11:50 PM,43 å¡F,36 å¡F,76%,NNW,9 mph,0 mph,30.39 in,0.0 in,Fair
1/1/19,12:20 AM,43 å¡F,34 å¡F,70%,N,12 mph,0 mph,30.39 in,0.0 in,Light Rain Shower
1/1/19,12:50 AM,41 å¡F,34 å¡F,76%,NW,9 mph,0 mph,30.39 in,0.0 in,Fair
1/2/19,1:20 AM,41 å¡F,34 å¡F,76%,NNW,14 mph,0 mph,30.42 in,0.0 in,Light Rain Shower
1/2/19,1:50 AM,41 å¡F,32 å¡F,70%,NNW,10 mph,0 mph,30.42 in,0.0 in,Mostly Cloudy
1/2/19,2:20 AM,41 å¡F,32 å¡F,70%,NW,6 mph,0 mph,30.42 in,0.0 in,Mostly Cloudy
1/2/19,2:50 AM,41 å¡F,32 å¡F,70%,NW,7 mph,0 mph,30.42 in,0.0 in,Fair
1/2/19,3:20 AM,41 å¡F,32 å¡F,70%,NW,8 mph,0 mph,30.42 in,0.0 in,Fair
1/2/19,3:50 AM,41 å¡F,32 å¡F,70%,NW,8 mph,0 mph,30.45 in,0.0 in,Fair
1/2/19,4:20 AM,41 å¡F,32 å¡F,70%,NNW,8 mph,0 mph,30.45 in,0.0 in,Fair
1/2/19,4:50 AM,39 å¡F,32 å¡F,75%,NW,7 mph,0 mph,30.45 in,0.0 in,Fair
1/2/19,5:20 AM,39 å¡F,32 å¡F,75%,NW,7 mph,0 mph,30.45 in,0.0 in,Fair
1/2/19,5:50 AM,39 å¡F,32 å¡F,75%,NW,7 mph,0 mph,30.45 in,0.0 in,Fair
1/2/19,6:20 AM,39 å¡F,32 å¡F,75%,NW,8 mph,0 mph,30.45 in,0.0 in,Fair
1/2/19,6:50 AM,39 å¡F,32 å¡F,75%,NW,6 mph,0 mph,30.45 in,0.0 in,Fair
1/2/19,7:20 AM,39 å¡F,32 å¡F,75%,NW,6 mph,0 mph,30.45 in,0.0 in,Fair
1/2/19,7:50 AM,39 å¡F,32 å¡F,75%,NW,7 mph,0 mph,30.45 in,0.0 in,Fair
1/2/19,8:20 AM,39 å¡F,32 å¡F,75%,NW,7 mph,0 mph,30.48 in,0.0 in,Fair
1/2/19,8:50 AM,41 å¡F,32 å¡F,70%,NW,8 mph,0 mph,30.48 in,0.0 in,Fair
1/2/19,9:20 AM,39 å¡F,32 å¡F,75%,WNW,8 mph,0 mph,30.48 in,0.0 in,Fair
1/2/19,9:50 AM,39 å¡F,34 å¡F,81%,WNW,8 mph,0 mph,30.48 in,0.0 in,Fair
1/2/19,10:20 AM,41 å¡F,34 å¡F,76%,NW,9 mph,0 mph,30.51 in,0.0 in,Fair
1/2/19,10:50 AM,41 å¡F,34 å¡F,76%,NW,8 mph,0 mph,30.51 in,0.0 in,Fair
1/2/19,11:20 AM,41 å¡F,34 å¡F,76%,NNW,9 mph,0 mph,30.51 in,0.0 in,Fair
1/2/19,11:50 AM,41 å¡F,36 å¡F,81%,NNW,9 mph,0 mph,30.54 in,0.0 in,Light Rain
1/2/19,12:20 PM,41 å¡F,36 å¡F,81%,NNW,6 mph,0 mph,30.51 in,0.0 in,Fair
1/2/19,12:50 PM,43 å¡F,36 å¡F,76%,NNW,5 mph,0 mph,30.54 in,0.0 in,Fair
1/2/19,1:20 PM,43 å¡F,36 å¡F,76%,NW,5 mph,0 mph,30.51 in,0.0 in,Partly Cloudy
1/2/19,1:50 PM,43 å¡F,36 å¡F,76%,NNW,6 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
1/2/19,2:20 PM,43 å¡F,34 å¡F,70%,N,6 mph,0 mph,30.51 in,0.0 in,Fair
1/2/19,2:50 PM,43 å¡F,34 å¡F,70%,NNW,12 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
1/2/19,3:20 PM,43 å¡F,34 å¡F,70%,N,14 mph,0 mph,30.51 in,0.0 in,Partly Cloudy
1/2/19,3:50 PM,43 å¡F,34 å¡F,70%,N,12 mph,0 mph,30.51 in,0.0 in,Fair
1/2/19,4:20 PM,43 å¡F,34 å¡F,70%,NNW,8 mph,0 mph,30.51 in,0.0 in,Fair
1/2/19,4:50 PM,43 å¡F,32 å¡F,66%,NNW,9 mph,0 mph,30.54 in,0.0 in,Fair
1/2/19,5:20 PM,41 å¡F,32 å¡F,70%,NNW,7 mph,0 mph,30.54 in,0.0 in,Fair
1/2/19,5:50 PM,41 å¡F,36 å¡F,81%,NW,6 mph,0 mph,30.54 in,0.0 in,Fair
1/2/19,6:20 PM,41 å¡F,34 å¡F,76%,NW,8 mph,0 mph,30.54 in,0.0 in,Fair
1/2/19,6:50 PM,41 å¡F,34 å¡F,76%,NW,7 mph,0 mph,30.54 in,0.0 in,Fair
1/2/19,7:20 PM,41 å¡F,34 å¡F,76%,NW,7 mph,0 mph,30.54 in,0.0 in,Fair
1/2/19,7:50 PM,39 å¡F,34 å¡F,81%,NW,7 mph,0 mph,30.54 in,0.0 in,Fair
1/2/19,8:20 PM,39 å¡F,34 å¡F,81%,NW,7 mph,0 mph,30.54 in,0.0 in,Fair
1/2/19,8:50 PM,39 å¡F,34 å¡F,81%,NW,6 mph,0 mph,30.54 in,0.0 in,Fair
1/2/19,9:20 PM,41 å¡F,34 å¡F,76%,NW,6 mph,0 mph,30.57 in,0.0 in,Fair
1/2/19,9:50 PM,39 å¡F,34 å¡F,81%,NW,5 mph,0 mph,30.57 in,0.0 in,Fair
1/2/19,10:20 PM,41 å¡F,34 å¡F,76%,NW,6 mph,0 mph,30.57 in,0.0 in,Fair
1/2/19,10:50 PM,39 å¡F,34 å¡F,81%,NW,5 mph,0 mph,30.57 in,0.0 in,Fair
1/2/19,11:20 PM,39 å¡F,34 å¡F,81%,NW,6 mph,0 mph,30.54 in,0.0 in,Fair
1/2/19,11:50 PM,39 å¡F,34 å¡F,81%,NW,5 mph,0 mph,30.54 in,0.0 in,Fair
1/2/19,12:20 AM,39 å¡F,36 å¡F,87%,NW,6 mph,0 mph,30.54 in,0.0 in,Fair
1/2/19,12:50 AM,39 å¡F,36 å¡F,87%,NW,6 mph,0 mph,30.54 in,0.0 in,Fair
1/3/19,1:20 AM,39 å¡F,36 å¡F,87%,NW,5 mph,0 mph,30.54 in,0.0 in,Fair
1/3/19,1:50 AM,39 å¡F,36 å¡F,87%,NW,3 mph,0 mph,30.54 in,0.0 in,Mostly Cloudy
1/3/19,2:20 AM,39 å¡F,36 å¡F,87%,NW,5 mph,0 mph,30.54 in,0.0 in,Mostly Cloudy
1/3/19,2:50 AM,39 å¡F,36 å¡F,87%,WNW,5 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/3/19,3:20 AM,39 å¡F,36 å¡F,87%,WNW,6 mph,0 mph,30.57 in,0.0 in,Fair
1/3/19,3:50 AM,39 å¡F,36 å¡F,87%,WNW,5 mph,0 mph,30.57 in,0.0 in,Fair
1/3/19,4:20 AM,39 å¡F,36 å¡F,87%,NW,6 mph,0 mph,30.57 in,0.0 in,Fair
1/3/19,4:50 AM,39 å¡F,36 å¡F,87%,NW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/3/19,5:20 AM,39 å¡F,36 å¡F,87%,WNW,5 mph,0 mph,30.57 in,0.0 in,Fair
1/3/19,5:50 AM,39 å¡F,36 å¡F,87%,WNW,5 mph,0 mph,30.57 in,0.0 in,Fair
1/3/19,6:20 AM,39 å¡F,36 å¡F,87%,WNW,5 mph,0 mph,30.54 in,0.0 in,Fair
1/3/19,6:50 AM,39 å¡F,34 å¡F,81%,WNW,6 mph,0 mph,30.54 in,0.0 in,Partly Cloudy
1/3/19,7:20 AM,39 å¡F,36 å¡F,87%,NW,6 mph,0 mph,30.54 in,0.0 in,Fair
1/3/19,7:50 AM,39 å¡F,36 å¡F,87%,NW,6 mph,0 mph,30.54 in,0.0 in,Mostly Cloudy
1/3/19,8:20 AM,39 å¡F,36 å¡F,87%,NW,6 mph,0 mph,30.54 in,0.0 in,Fair
1/3/19,8:50 AM,39 å¡F,36 å¡F,87%,WNW,6 mph,0 mph,30.57 in,0.0 in,Fair
1/3/19,9:20 AM,39 å¡F,36 å¡F,87%,WNW,5 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/3/19,9:50 AM,39 å¡F,36 å¡F,87%,WNW,7 mph,0 mph,30.57 in,0.0 in,Fair
1/3/19,10:20 AM,39 å¡F,36 å¡F,87%,NW,5 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/3/19,10:50 AM,39 å¡F,36 å¡F,87%,NNW,5 mph,0 mph,30.57 in,0.0 in,Light Rain
1/3/19,11:20 AM,39 å¡F,36 å¡F,87%,NW,3 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/3/19,11:50 AM,39 å¡F,36 å¡F,87%,NW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/3/19,12:20 PM,39 å¡F,36 å¡F,87%,NW,8 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/3/19,12:50 PM,39 å¡F,36 å¡F,87%,NW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/3/19,1:20 PM,41 å¡F,37 å¡F,87%,NNW,5 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/3/19,1:50 PM,41 å¡F,36 å¡F,81%,NW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/3/19,2:20 PM,41 å¡F,36 å¡F,81%,NNW,6 mph,0 mph,30.57 in,0.0 in,Light Rain
1/3/19,2:50 PM,41 å¡F,36 å¡F,81%,NNW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/3/19,3:20 PM,41 å¡F,36 å¡F,81%,NNW,6 mph,0 mph,30.54 in,0.0 in,Mostly Cloudy
1/3/19,3:50 PM,41 å¡F,36 å¡F,81%,NW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/3/19,4:20 PM,41 å¡F,36 å¡F,81%,N,7 mph,0 mph,30.57 in,0.0 in,Light Rain
1/3/19,4:50 PM,39 å¡F,36 å¡F,87%,N,5 mph,0 mph,30.57 in,0.0 in,Fair
1/3/19,5:20 PM,39 å¡F,36 å¡F,87%,NNW,2 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/3/19,5:50 PM,39 å¡F,36 å¡F,87%,NW,2 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/3/19,6:20 PM,41 å¡F,36 å¡F,81%,NW,3 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/3/19,6:50 PM,41 å¡F,36 å¡F,81%,NW,5 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/3/19,7:20 PM,41 å¡F,36 å¡F,81%,NW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/3/19,7:50 PM,41 å¡F,36 å¡F,81%,NNW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/3/19,8:20 PM,39 å¡F,36 å¡F,87%,NW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/3/19,8:50 PM,39 å¡F,36 å¡F,87%,NW,5 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/3/19,9:20 PM,39 å¡F,36 å¡F,87%,NW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/3/19,9:50 PM,37 å¡F,36 å¡F,93%,NW,6 mph,0 mph,30.57 in,0.0 in,Partly Cloudy
1/3/19,10:20 PM,37 å¡F,36 å¡F,93%,NW,5 mph,0 mph,30.57 in,0.0 in,Fair
1/3/19,10:50 PM,36 å¡F,36 å¡F,100%,NNW,3 mph,0 mph,30.57 in,0.0 in,Fair
1/3/19,11:20 PM,37 å¡F,36 å¡F,93%,NNW,3 mph,0 mph,30.57 in,0.0 in,Partly Cloudy
1/3/19,11:50 PM,37 å¡F,36 å¡F,93%,NNW,2 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/3/19,12:20 AM,37 å¡F,36 å¡F,93%,NW,3 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/3/19,12:50 AM,37 å¡F,36 å¡F,93%,WNW,2 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/4/19,1:20 AM,37 å¡F,36 å¡F,93%,WNW,2 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/4/19,1:50 AM,37 å¡F,36 å¡F,93%,VAR,2 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/4/19,2:20 AM,37 å¡F,36 å¡F,93%,WNW,2 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/4/19,2:50 AM,37 å¡F,36 å¡F,93%,W,3 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/4/19,3:20 AM,37 å¡F,36 å¡F,93%,WNW,5 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/4/19,3:50 AM,37 å¡F,36 å¡F,93%,W,2 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/4/19,4:20 AM,36 å¡F,36 å¡F,100%,WNW,3 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/4/19,4:50 AM,37 å¡F,36 å¡F,93%,WNW,3 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/4/19,5:20 AM,37 å¡F,36 å¡F,93%,W,5 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/4/19,5:50 AM,37 å¡F,37 å¡F,100%,W,3 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/4/19,6:20 AM,37 å¡F,37 å¡F,100%,WNW,5 mph,0 mph,30.57 in,0.0 in,Light Rain Shower
1/4/19,6:50 AM,37 å¡F,37 å¡F,100%,WNW,6 mph,0 mph,30.57 in,0.0 in,Light Rain Shower
1/4/19,7:20 AM,39 å¡F,37 å¡F,93%,W,6 mph,0 mph,30.54 in,0.0 in,Light Rain
1/4/19,7:50 AM,39 å¡F,37 å¡F,93%,WNW,6 mph,0 mph,30.54 in,0.0 in,Light Rain
1/4/19,8:20 AM,39 å¡F,37 å¡F,93%,NW,3 mph,0 mph,30.54 in,0.0 in,Light Rain
1/4/19,8:50 AM,39 å¡F,37 å¡F,93%,WNW,5 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/4/19,9:20 AM,39 å¡F,37 å¡F,93%,WNW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/4/19,9:50 AM,39 å¡F,37 å¡F,93%,WNW,6 mph,0 mph,30.54 in,0.0 in,Mostly Cloudy
1/4/19,10:20 AM,39 å¡F,37 å¡F,93%,WNW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/4/19,10:50 AM,39 å¡F,37 å¡F,93%,WNW,7 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/4/19,11:20 AM,39 å¡F,37 å¡F,93%,NW,7 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/4/19,11:50 AM,39 å¡F,36 å¡F,87%,WNW,9 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
1/4/19,12:20 PM,39 å¡F,34 å¡F,81%,WNW,10 mph,0 mph,30.54 in,0.0 in,Mostly Cloudy
1/4/19,12:50 PM,41 å¡F,34 å¡F,76%,WNW,10 mph,0 mph,30.54 in,0.0 in,Mostly Cloudy
1/4/19,1:20 PM,39 å¡F,34 å¡F,81%,WNW,10 mph,0 mph,30.54 in,0.0 in,Mostly Cloudy
1/4/19,1:50 PM,39 å¡F,34 å¡F,81%,WNW,12 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
1/4/19,2:20 PM,39 å¡F,34 å¡F,81%,WNW,12 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
1/4/19,2:50 PM,39 å¡F,34 å¡F,81%,WNW,12 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
1/4/19,3:20 PM,39 å¡F,34 å¡F,81%,WNW,10 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
1/4/19,3:50 PM,39 å¡F,32 å¡F,75%,NW,12 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
1/4/19,4:20 PM,37 å¡F,32 å¡F,81%,WNW,8 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
1/4/19,4:50 PM,37 å¡F,30 å¡F,75%,WNW,9 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
1/4/19,5:20 PM,37 å¡F,30 å¡F,75%,NW,12 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
1/4/19,5:50 PM,37 å¡F,30 å¡F,75%,WNW,7 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
1/4/19,6:20 PM,37 å¡F,30 å¡F,75%,W,8 mph,0 mph,30.48 in,0.0 in,Mostly Cloudy
1/4/19,6:50 PM,37 å¡F,32 å¡F,81%,W,9 mph,0 mph,30.48 in,0.0 in,Mostly Cloudy
1/4/19,7:20 PM,37 å¡F,32 å¡F,81%,W,7 mph,0 mph,30.48 in,0.0 in,Mostly Cloudy
1/4/19,7:50 PM,37 å¡F,32 å¡F,81%,W,9 mph,0 mph,30.48 in,0.0 in,Mostly Cloudy
1/4/19,8:20 PM,37 å¡F,34 å¡F,87%,W,9 mph,0 mph,30.48 in,0.0 in,Light Drizzle
1/4/19,8:50 PM,37 å¡F,34 å¡F,87%,W,9 mph,0 mph,30.48 in,0.0 in,Light Drizzle
1/4/19,9:20 PM,37 å¡F,34 å¡F,87%,W,9 mph,0 mph,30.48 in,0.0 in,Light Drizzle
1/4/19,9:50 PM,37 å¡F,36 å¡F,93%,W,10 mph,0 mph,30.48 in,0.0 in,Light Drizzle
1/4/19,10:20 PM,39 å¡F,36 å¡F,87%,W,13 mph,0 mph,30.45 in,0.0 in,Mostly Cloudy
1/4/19,10:50 PM,39 å¡F,36 å¡F,87%,W,10 mph,0 mph,30.45 in,0.0 in,Light Drizzle
1/4/19,11:20 PM,39 å¡F,36 å¡F,87%,W,9 mph,0 mph,30.45 in,0.0 in,Light Drizzle
1/4/19,11:50 PM,39 å¡F,37 å¡F,93%,W,9 mph,0 mph,30.45 in,0.0 in,Mostly Cloudy
1/4/19,12:20 AM,39 å¡F,37 å¡F,93%,W,12 mph,0 mph,30.45 in,0.0 in,Light Drizzle
1/4/19,12:50 AM,39 å¡F,37 å¡F,93%,W,9 mph,0 mph,30.45 in,0.0 in,Light Drizzle
1/5/19,1:20 AM,39 å¡F,37 å¡F,93%,W,9 mph,0 mph,30.45 in,0.0 in,Light Drizzle
1/5/19,1:50 AM,39 å¡F,37 å¡F,93%,W,10 mph,0 mph,30.42 in,0.0 in,Light Drizzle
1/5/19,2:20 AM,39 å¡F,39 å¡F,100%,W,10 mph,0 mph,30.42 in,0.0 in,Light Drizzle
1/5/19,2:50 AM,39 å¡F,39 å¡F,100%,W,10 mph,0 mph,30.42 in,0.0 in,Light Drizzle
1/5/19,3:20 AM,41 å¡F,39 å¡F,93%,W,10 mph,0 mph,30.42 in,0.0 in,Light Drizzle
1/5/19,3:50 AM,41 å¡F,39 å¡F,93%,W,10 mph,0 mph,30.42 in,0.0 in,Light Drizzle
1/5/19,4:20 AM,41 å¡F,39 å¡F,93%,WNW,8 mph,0 mph,30.42 in,0.0 in,Light Drizzle
1/5/19,4:50 AM,41 å¡F,41 å¡F,100%,WNW,7 mph,0 mph,30.42 in,0.0 in,Light Drizzle
1/5/19,5:20 AM,41 å¡F,41 å¡F,100%,W,7 mph,0 mph,30.42 in,0.0 in,Mist
1/5/19,5:50 AM,41 å¡F,41 å¡F,100%,W,8 mph,0 mph,30.39 in,0.0 in,Mist
1/5/19,6:20 AM,41 å¡F,41 å¡F,100%,WNW,9 mph,0 mph,30.39 in,0.0 in,Mist
1/5/19,6:50 AM,43 å¡F,41 å¡F,93%,WNW,9 mph,0 mph,30.39 in,0.0 in,Mostly Cloudy
1/5/19,7:20 AM,43 å¡F,41 å¡F,93%,WNW,9 mph,0 mph,30.39 in,0.0 in,Light Drizzle
1/5/19,7:50 AM,43 å¡F,41 å¡F,93%,WNW,9 mph,0 mph,30.39 in,0.0 in,Light Drizzle
1/5/19,8:20 AM,43 å¡F,41 å¡F,93%,WNW,10 mph,0 mph,30.39 in,0.0 in,Light Drizzle
1/5/19,8:50 AM,43 å¡F,41 å¡F,93%,NW,12 mph,0 mph,30.39 in,0.0 in,Drizzle
1/5/19,9:20 AM,43 å¡F,41 å¡F,93%,NW,9 mph,0 mph,30.39 in,0.0 in,Mist
1/5/19,9:50 AM,43 å¡F,41 å¡F,93%,NW,9 mph,0 mph,30.39 in,0.0 in,Mostly Cloudy
1/5/19,10:20 AM,43 å¡F,41 å¡F,93%,NW,10 mph,0 mph,30.39 in,0.0 in,Mostly Cloudy
1/5/19,10:50 AM,43 å¡F,41 å¡F,93%,NW,10 mph,0 mph,30.39 in,0.0 in,Mostly Cloudy
1/5/19,11:20 AM,43 å¡F,41 å¡F,93%,NW,10 mph,0 mph,30.39 in,0.0 in,Light Drizzle
1/5/19,11:50 AM,43 å¡F,41 å¡F,93%,NW,9 mph,0 mph,30.39 in,0.0 in,Light Drizzle
1/5/19,12:20 PM,43 å¡F,41 å¡F,93%,NW,8 mph,0 mph,30.39 in,0.0 in,Mostly Cloudy
1/5/19,12:50 PM,43 å¡F,41 å¡F,93%,WNW,9 mph,0 mph,30.39 in,0.0 in,Light Drizzle
1/5/19,1:20 PM,43 å¡F,41 å¡F,93%,WNW,9 mph,0 mph,30.39 in,0.0 in,Light Drizzle
1/5/19,1:50 PM,43 å¡F,41 å¡F,93%,NW,10 mph,0 mph,30.39 in,0.0 in,Mostly Cloudy
1/5/19,2:20 PM,43 å¡F,41 å¡F,93%,NW,12 mph,0 mph,30.39 in,0.0 in,Mostly Cloudy
1/5/19,2:50 PM,43 å¡F,39 å¡F,87%,NW,9 mph,0 mph,30.39 in,0.0 in,Mostly Cloudy
1/5/19,3:20 PM,43 å¡F,41 å¡F,93%,WNW,10 mph,0 mph,30.39 in,0.0 in,Mostly Cloudy
