,index,time,,Temp (F),dewpoint,humidity,wind,windspeed,windgust,pressurre,precip,condit
,33.5,1/1/19 16:35,,,,,,,,,,
,34,1/1/19 16:50,,46,41,0.81,NNW,9,0,30.3,0,Mostly Cloudy
,34.5,1/1/19 17:05,,,,,,,,,,
,35,1/1/19 17:20,,46,41,0.81,NNW,10,0,30.33,0,Mostly Cloudy
,35.5,1/1/19 17:35,,,,,,,,,,
,36,1/1/19 17:50,,45,41,0.87,NW,9,0,30.33,0,Mostly Cloudy
,36.5,1/1/19 18:05,,,,,,,,,,
,37,1/1/19 18:20,,45,39,0.81,NW,10,0,30.33,0,Mostly Cloudy
,37.5,1/1/19 18:35,,,,,,,,,,
,38,1/1/19 18:50,,45,39,0.81,NW,9,0,30.33,0,Mostly Cloudy
,38.5,1/1/19 19:05,,,,,,,,,,
,39,1/1/19 19:20,,45,37,0.76,NW,10,0,30.36,0,Mostly Cloudy
,39.5,1/1/19 19:35,,,,,,,,,,
,40,1/1/19 19:50,,43,37,0.81,NW,12,0,30.36,0,Mostly Cloudy
,40.5,1/1/19 20:05,,,,,,,,,,
,41,1/1/19 20:20,,43,37,0.81,NW,15,0,30.36,0,Light Rain Shower
,41.5,1/1/19 20:35,,,,,,,,,,
,42,1/1/19 20:50,,43,37,0.81,NW,8,0,30.36,0,Fair
,42.5,1/1/19 21:05,,,,,,,,,,
,43,1/1/19 21:20,,43,37,0.81,NW,8,0,30.39,0,Fair
,43.5,1/1/19 21:35,,,,,,,,,,
,44,1/1/19 21:50,,41,36,0.81,NW,8,0,30.39,0,Mostly Cloudy
,44.5,1/1/19 22:05,,,,,,,,,,
,45,1/1/19 22:20,,41,36,0.81,NW,9,0,30.39,0,Fair
,45.5,1/1/19 22:35,,,,,,,,,,
,46,1/1/19 22:50,,43,36,0.76,NNW,9,0,30.39,0,Fair
,46.5,1/1/19 23:05,,,,,,,,,,
,47,1/1/19 23:20,,43,34,0.7,N,12,0,30.39,0,Light Rain Shower
,47.5,1/1/19 23:35,,,,,,,,,,
,48,1/1/19 23:50,,41,34,0.76,NW,9,0,30.39,0,Fair
,48.5,1/2/19 0:05,,,,,,,,,,
,49,1/2/19 0:20,,41,34,0.76,NNW,14,0,30.42,0,Light Rain Shower
,49.5,1/2/19 0:35,,,,,,,,,,
,50,1/2/19 0:50,,41,32,0.7,NNW,10,0,30.42,0,Mostly Cloudy
,50.5,1/2/19 1:05,,,,,,,,,,
,51,1/2/19 1:20,,41,32,0.7,NW,6,0,30.42,0,Mostly Cloudy
,51.5,1/2/19 1:35,,,,,,,,,,
,52,1/2/19 1:50,,41,32,0.7,NW,7,0,30.42,0,Fair
,52.5,1/2/19 2:05,,,,,,,,,,
,53,1/2/19 2:20,,41,32,0.7,NW,8,0,30.42,0,Fair
,53.5,1/2/19 2:35,,,,,,,,,,
,54,1/2/19 2:50,,41,32,0.7,NW,8,0,30.45,0,Fair
,54.5,1/2/19 3:05,,,,,,,,,,
,55,1/2/19 3:20,,41,32,0.7,NNW,8,0,30.45,0,Fair
,55.5,1/2/19 3:35,,,,,,,,,,
,56,1/2/19 3:50,,39,32,0.75,NW,7,0,30.45,0,Fair
,56.5,1/2/19 4:05,,,,,,,,,,
,57,1/2/19 4:20,,39,32,0.75,NW,7,0,30.45,0,Fair
,57.5,1/2/19 4:35,,,,,,,,,,
,58,1/2/19 4:50,,39,32,0.75,NW,7,0,30.45,0,Fair
,58.5,1/2/19 5:05,,,,,,,,,,
,59,1/2/19 5:20,,39,32,0.75,NW,8,0,30.45,0,Fair
,59.5,1/2/19 5:35,,,,,,,,,,
,60,1/2/19 5:50,,39,32,0.75,NW,6,0,30.45,0,Fair
,60.5,1/2/19 6:05,,,,,,,,,,
,61,1/2/19 6:20,,39,32,0.75,NW,6,0,30.45,0,Fair
,61.5,1/2/19 6:35,,,,,,,,,,
,62,1/2/19 6:50,,39,32,0.75,NW,7,0,30.45,0,Fair
,62.5,1/2/19 7:05,,,,,,,,,,
,63,1/2/19 7:20,,39,32,0.75,NW,7,0,30.48,0,Fair
,63.5,1/2/19 7:35,,,,,,,,,,
,64,1/2/19 7:50,,41,32,0.7,NW,8,0,30.48,0,Fair
,64.5,1/2/19 8:05,,,,,,,,,,
,65,1/2/19 8:20,,39,32,0.75,WNW,8,0,30.48,0,Fair
,65.5,1/2/19 8:35,,,,,,,,,,
,66,1/2/19 8:50,,39,34,0.81,WNW,8,0,30.48,0,Fair
,66.5,1/2/19 9:05,,,,,,,,,,
,67,1/2/19 9:20,,41,34,0.76,NW,9,0,30.51,0,Fair
,67.5,1/2/19 9:35,,,,,,,,,,
,68,1/2/19 9:50,,41,34,0.76,NW,8,0,30.51,0,Fair
,68.5,1/2/19 10:05,,,,,,,,,,
,69,1/2/19 10:20,,41,34,0.76,NNW,9,0,30.51,0,Fair
,69.5,1/2/19 10:35,,,,,,,,,,
,70,1/2/19 10:50,,41,36,0.81,NNW,9,0,30.54,0,Light Rain
,70.5,1/2/19 11:05,,,,,,,,,,
,71,1/2/19 11:20,,41,36,0.81,NNW,6,0,30.51,0,Fair
,71.5,1/2/19 11:35,,,,,,,,,,
,72,1/2/19 11:50,,43,36,0.76,NNW,5,0,30.54,0,Fair
,72.5,1/2/19 12:05,,,,,,,,,,
,73,1/2/19 12:20,,43,36,0.76,NW,5,0,30.51,0,Partly Cloudy
,73.5,1/2/19 12:35,,,,,,,,,,
,74,1/2/19 12:50,,43,36,0.76,NNW,6,0,30.51,0,Mostly Cloudy
,74.5,1/2/19 13:05,,,,,,,,,,
,75,1/2/19 13:20,,43,34,0.7,N,6,0,30.51,0,Fair
,75.5,1/2/19 13:35,,,,,,,,,,
,76,1/2/19 13:50,,43,34,0.7,NNW,12,0,30.51,0,Mostly Cloudy
,76.5,1/2/19 14:05,,,,,,,,,,
,77,1/2/19 14:20,,43,34,0.7,N,14,0,30.51,0,Partly Cloudy
,77.5,1/2/19 14:35,,,,,,,,,,
,78,1/2/19 14:50,,43,34,0.7,N,12,0,30.51,0,Fair
,78.5,1/2/19 15:05,,,,,,,,,,
,79,1/2/19 15:20,,43,34,0.7,NNW,8,0,30.51,0,Fair
,79.5,1/2/19 15:35,,,,,,,,,,
,80,1/2/19 15:50,,43,32,0.66,NNW,9,0,30.54,0,Fair
,80.5,1/2/19 16:05,,,,,,,,,,
,81,1/2/19 16:20,,41,32,0.7,NNW,7,0,30.54,0,Fair
,81.5,1/2/19 16:35,,,,,,,,,,
,82,1/2/19 16:50,,41,36,0.81,NW,6,0,30.54,0,Fair
,82.5,1/2/19 17:05,,,,,,,,,,
,83,1/2/19 17:20,,41,34,0.76,NW,8,0,30.54,0,Fair
,83.5,1/2/19 17:35,,,,,,,,,,
,84,1/2/19 17:50,,41,34,0.76,NW,7,0,30.54,0,Fair
,84.5,1/2/19 18:05,,,,,,,,,,
,85,1/2/19 18:20,,41,34,0.76,NW,7,0,30.54,0,Fair
,85.5,1/2/19 18:35,,,,,,,,,,
,86,1/2/19 18:50,,39,34,0.81,NW,7,0,30.54,0,Fair
,86.5,1/2/19 19:05,,,,,,,,,,
,87,1/2/19 19:20,,39,34,0.81,NW,7,0,30.54,0,Fair
,87.5,1/2/19 19:35,,,,,,,,,,
,88,1/2/19 19:50,,39,34,0.81,NW,6,0,30.54,0,Fair
,88.5,1/2/19 20:05,,,,,,,,,,
,89,1/2/19 20:20,,41,34,0.76,NW,6,0,30.57,0,Fair
,89.5,1/2/19 20:35,,,,,,,,,,
,90,1/2/19 20:50,,39,34,0.81,NW,5,0,30.57,0,Fair
,90.5,1/2/19 21:05,,,,,,,,,,
,91,1/2/19 21:20,,41,34,0.76,NW,6,0,30.57,0,Fair
,91.5,1/2/19 21:35,,,,,,,,,,
,92,1/2/19 21:50,,39,34,0.81,NW,5,0,30.57,0,Fair
,92.5,1/2/19 22:05,,,,,,,,,,
,93,1/2/19 22:20,,39,34,0.81,NW,6,0,30.54,0,Fair
,93.5,1/2/19 22:35,,,,,,,,,,
,94,1/2/19 22:50,,39,34,0.81,NW,5,0,30.54,0,Fair
,94.5,1/2/19 23:05,,,,,,,,,,
,95,1/2/19 23:20,,39,36,0.87,NW,6,0,30.54,0,Fair
,95.5,1/2/19 23:35,,,,,,,,,,
,96,1/2/19 23:50,,39,36,0.87,NW,6,0,30.54,0,Fair
,96.5,1/3/19 0:05,,,,,,,,,,
,97,1/3/19 0:20,,39,36,0.87,NW,5,0,30.54,0,Fair
,97.5,1/3/19 0:35,,,,,,,,,,
,98,1/3/19 0:50,,39,36,0.87,NW,3,0,30.54,0,Mostly Cloudy
,98.5,1/3/19 1:05,,,,,,,,,,
,99,1/3/19 1:20,,39,36,0.87,NW,5,0,30.54,0,Mostly Cloudy
,99.5,1/3/19 1:35,,,,,,,,,,
,100,1/3/19 1:50,,39,36,0.87,WNW,5,0,30.57,0,Mostly Cloudy
,100.5,1/3/19 2:05,,,,,,,,,,
,101,1/3/19 2:20,,39,36,0.87,WNW,6,0,30.57,0,Fair
,101.5,1/3/19 2:35,,,,,,,,,,
,102,1/3/19 2:50,,39,36,0.87,WNW,5,0,30.57,0,Fair
,102.5,1/3/19 3:05,,,,,,,,,,
,103,1/3/19 3:20,,39,36,0.87,NW,6,0,30.57,0,Fair
,103.5,1/3/19 3:35,,,,,,,,,,
,104,1/3/19 3:50,,39,36,0.87,NW,6,0,30.57,0,Mostly Cloudy
,104.5,1/3/19 4:05,,,,,,,,,,
,105,1/3/19 4:20,,39,36,0.87,WNW,5,0,30.57,0,Fair
,105.5,1/3/19 4:35,,,,,,,,,,
,106,1/3/19 4:50,,39,36,0.87,WNW,5,0,30.57,0,Fair
,106.5,1/3/19 5:05,,,,,,,,,,
,107,1/3/19 5:20,,39,36,0.87,WNW,5,0,30.54,0,Fair
,107.5,1/3/19 5:35,,,,,,,,,,
,108,1/3/19 5:50,,39,34,0.81,WNW,6,0,30.54,0,Partly Cloudy
,108.5,1/3/19 6:05,,,,,,,,,,
,109,1/3/19 6:20,,39,36,0.87,NW,6,0,30.54,0,Fair
,109.5,1/3/19 6:35,,,,,,,,,,
,110,1/3/19 6:50,,39,36,0.87,NW,6,0,30.54,0,Mostly Cloudy
,110.5,1/3/19 7:05,,,,,,,,,,
,111,1/3/19 7:20,,39,36,0.87,NW,6,0,30.54,0,Fair
,111.5,1/3/19 7:35,,,,,,,,,,
,112,1/3/19 7:50,,39,36,0.87,WNW,6,0,30.57,0,Fair
,112.5,1/3/19 8:05,,,,,,,,,,
,113,1/3/19 8:20,,39,36,0.87,WNW,5,0,30.57,0,Mostly Cloudy
,113.5,1/3/19 8:35,,,,,,,,,,
,114,1/3/19 8:50,,39,36,0.87,WNW,7,0,30.57,0,Fair
,114.5,1/3/19 9:05,,,,,,,,,,
,115,1/3/19 9:20,,39,36,0.87,NW,5,0,30.57,0,Mostly Cloudy
,115.5,1/3/19 9:35,,,,,,,,,,
,116,1/3/19 9:50,,39,36,0.87,NNW,5,0,30.57,0,Light Rain
,116.5,1/3/19 10:05,,,,,,,,,,
,117,1/3/19 10:20,,39,36,0.87,NW,3,0,30.57,0,Mostly Cloudy
,117.5,1/3/19 10:35,,,,,,,,,,
,118,1/3/19 10:50,,39,36,0.87,NW,6,0,30.57,0,Mostly Cloudy
,118.5,1/3/19 11:05,,,,,,,,,,
,119,1/3/19 11:20,,39,36,0.87,NW,8,0,30.57,0,Mostly Cloudy
,119.5,1/3/19 11:35,,,,,,,,,,
,120,1/3/19 11:50,,39,36,0.87,NW,6,0,30.57,0,Mostly Cloudy
,120.5,1/3/19 12:05,,,,,,,,,,
,121,1/3/19 12:20,,41,37,0.87,NNW,5,0,30.57,0,Mostly Cloudy
,121.5,1/3/19 12:35,,,,,,,,,,
,122,1/3/19 12:50,,41,36,0.81,NW,6,0,30.57,0,Mostly Cloudy
,122.5,1/3/19 13:05,,,,,,,,,,
,123,1/3/19 13:20,,41,36,0.81,NNW,6,0,30.57,0,Light Rain
,123.5,1/3/19 13:35,,,,,,,,,,
,124,1/3/19 13:50,,41,36,0.81,NNW,6,0,30.57,0,Mostly Cloudy
,124.5,1/3/19 14:05,,,,,,,,,,
,125,1/3/19 14:20,,41,36,0.81,NNW,6,0,30.54,0,Mostly Cloudy
,125.5,1/3/19 14:35,,,,,,,,,,
,126,1/3/19 14:50,,41,36,0.81,NW,6,0,30.57,0,Mostly Cloudy
,126.5,1/3/19 15:05,,,,,,,,,,
,127,1/3/19 15:20,,41,36,0.81,N,7,0,30.57,0,Light Rain
,127.5,1/3/19 15:35,,,,,,,,,,
,128,1/3/19 15:50,,39,36,0.87,N,5,0,30.57,0,Fair
,128.5,1/3/19 16:05,,,,,,,,,,
,129,1/3/19 16:20,,39,36,0.87,NNW,2,0,30.57,0,Mostly Cloudy
,129.5,1/3/19 16:35,,,,,,,,,,
,130,1/3/19 16:50,,39,36,0.87,NW,2,0,30.57,0,Mostly Cloudy
,130.5,1/3/19 17:05,,,,,,,,,,
,131,1/3/19 17:20,,41,36,0.81,NW,3,0,30.57,0,Mostly Cloudy
,131.5,1/3/19 17:35,,,,,,,,,,
,132,1/3/19 17:50,,41,36,0.81,NW,5,0,30.57,0,Mostly Cloudy
,132.5,1/3/19 18:05,,,,,,,,,,
,133,1/3/19 18:20,,41,36,0.81,NW,6,0,30.57,0,Mostly Cloudy
,133.5,1/3/19 18:35,,,,,,,,,,
,134,1/3/19 18:50,,41,36,0.81,NNW,6,0,30.57,0,Mostly Cloudy
,134.5,1/3/19 19:05,,,,,,,,,,
,135,1/3/19 19:20,,39,36,0.87,NW,6,0,30.57,0,Mostly Cloudy
,135.5,1/3/19 19:35,,,,,,,,,,
,136,1/3/19 19:50,,39,36,0.87,NW,5,0,30.57,0,Mostly Cloudy
,136.5,1/3/19 20:05,,,,,,,,,,
,137,1/3/19 20:20,,39,36,0.87,NW,6,0,30.57,0,Mostly Cloudy
,137.5,1/3/19 20:35,,,,,,,,,,
,138,1/3/19 20:50,,37,36,0.93,NW,6,0,30.57,0,Partly Cloudy
,138.5,1/3/19 21:05,,,,,,,,,,
,139,1/3/19 21:20,,37,36,0.93,NW,5,0,30.57,0,Fair
,139.5,1/3/19 21:35,,,,,,,,,,
,140,1/3/19 21:50,,36,36,1,NNW,3,0,30.57,0,Fair
,140.5,1/3/19 22:05,,,,,,,,,,
,141,1/3/19 22:20,,37,36,0.93,NNW,3,0,30.57,0,Partly Cloudy
,141.5,1/3/19 22:35,,,,,,,,,,
,142,1/3/19 22:50,,37,36,0.93,NNW,2,0,30.57,0,Mostly Cloudy
,142.5,1/3/19 23:05,,,,,,,,,,
,143,1/3/19 23:20,,37,36,0.93,NW,3,0,30.57,0,Mostly Cloudy
,143.5,1/3/19 23:35,,,,,,,,,,
,144,1/3/19 23:50,,37,36,0.93,WNW,2,0,30.57,0,Mostly Cloudy
,144.5,1/4/19 0:05,,,,,,,,,,
,145,1/4/19 0:20,,37,36,0.93,WNW,2,0,30.57,0,Mostly Cloudy
,145.5,1/4/19 0:35,,,,,,,,,,
,146,1/4/19 0:50,,37,36,0.93,VAR,2,0,30.57,0,Mostly Cloudy
,146.5,1/4/19 1:05,,,,,,,,,,
,147,1/4/19 1:20,,37,36,0.93,WNW,2,0,30.57,0,Mostly Cloudy
,147.5,1/4/19 1:35,,,,,,,,,,
,148,1/4/19 1:50,,37,36,0.93,W,3,0,30.57,0,Mostly Cloudy
,148.5,1/4/19 2:05,,,,,,,,,,
,149,1/4/19 2:20,,37,36,0.93,WNW,5,0,30.57,0,Mostly Cloudy
,149.5,1/4/19 2:35,,,,,,,,,,
,150,1/4/19 2:50,,37,36,0.93,W,2,0,30.57,0,Mostly Cloudy
,150.5,1/4/19 3:05,,,,,,,,,,
,151,1/4/19 3:20,,36,36,1,WNW,3,0,30.57,0,Mostly Cloudy
,151.5,1/4/19 3:35,,,,,,,,,,
,152,1/4/19 3:50,,37,36,0.93,WNW,3,0,30.57,0,Mostly Cloudy
,152.5,1/4/19 4:05,,,,,,,,,,
,153,1/4/19 4:20,,37,36,0.93,W,5,0,30.57,0,Mostly Cloudy
,153.5,1/4/19 4:35,,,,,,,,,,
,154,1/4/19 4:50,,37,37,1,W,3,0,30.57,0,Mostly Cloudy
,154.5,1/4/19 5:05,,,,,,,,,,
,155,1/4/19 5:20,,37,37,1,WNW,5,0,30.57,0,Light Rain Shower
,155.5,1/4/19 5:35,,,,,,,,,,
,156,1/4/19 5:50,,37,37,1,WNW,6,0,30.57,0,Light Rain Shower
,156.5,1/4/19 6:05,,,,,,,,,,
,157,1/4/19 6:20,,39,37,0.93,W,6,0,30.54,0,Light Rain
,157.5,1/4/19 6:35,,,,,,,,,,
,158,1/4/19 6:50,,39,37,0.93,WNW,6,0,30.54,0,Light Rain
,158.5,1/4/19 7:05,,,,,,,,,,
,159,1/4/19 7:20,,39,37,0.93,NW,3,0,30.54,0,Light Rain
,159.5,1/4/19 7:35,,,,,,,,,,
,160,1/4/19 7:50,,39,37,0.93,WNW,5,0,30.57,0,Mostly Cloudy
,160.5,1/4/19 8:05,,,,,,,,,,
,161,1/4/19 8:20,,39,37,0.93,WNW,6,0,30.57,0,Mostly Cloudy
,161.5,1/4/19 8:35,,,,,,,,,,
,162,1/4/19 8:50,,39,37,0.93,WNW,6,0,30.54,0,Mostly Cloudy
,162.5,1/4/19 9:05,,,,,,,,,,
,163,1/4/19 9:20,,39,37,0.93,WNW,6,0,30.57,0,Mostly Cloudy
,163.5,1/4/19 9:35,,,,,,,,,,
,164,1/4/19 9:50,,39,37,0.93,WNW,7,0,30.57,0,Mostly Cloudy
,164.5,1/4/19 10:05,,,,,,,,,,
,165,1/4/19 10:20,,39,37,0.93,NW,7,0,30.57,0,Mostly Cloudy
,165.5,1/4/19 10:35,,,,,,,,,,
,166,1/4/19 10:50,,39,36,0.87,WNW,9,0,30.57,0,Mostly Cloudy
,166.5,1/4/19 11:05,,,,,,,,,,
,167,1/4/19 11:20,,39,34,0.81,WNW,10,0,30.54,0,Mostly Cloudy
,167.5,1/4/19 11:35,,,,,,,,,,
,168,1/4/19 11:50,,41,34,0.76,WNW,10,0,30.54,0,Mostly Cloudy
,168.5,1/4/19 12:05,,,,,,,,,,
,169,1/4/19 12:20,,39,34,0.81,WNW,10,0,30.54,0,Mostly Cloudy
,169.5,1/4/19 12:35,,,,,,,,,,
,170,1/4/19 12:50,,39,34,0.81,WNW,12,0,30.51,0,Mostly Cloudy
,170.5,1/4/19 13:05,,,,,,,,,,
,171,1/4/19 13:20,,39,34,0.81,WNW,12,0,30.51,0,Mostly Cloudy
,171.5,1/4/19 13:35,,,,,,,,,,
,172,1/4/19 13:50,,39,34,0.81,WNW,12,0,30.51,0,Mostly Cloudy
,172.5,1/4/19 14:05,,,,,,,,,,
,173,1/4/19 14:20,,39,34,0.81,WNW,10,0,30.51,0,Mostly Cloudy
,173.5,1/4/19 14:35,,,,,,,,,,
,174,1/4/19 14:50,,39,32,0.75,NW,12,0,30.51,0,Mostly Cloudy
,174.5,1/4/19 15:05,,,,,,,,,,
,175,1/4/19 15:20,,37,32,0.81,WNW,8,0,30.51,0,Mostly Cloudy
,175.5,1/4/19 15:35,,,,,,,,,,
,176,1/4/19 15:50,,37,30,0.75,WNW,9,0,30.51,0,Mostly Cloudy
,176.5,1/4/19 16:05,,,,,,,,,,
,177,1/4/19 16:20,,37,30,0.75,NW,12,0,30.51,0,Mostly Cloudy
,177.5,1/4/19 16:35,,,,,,,,,,
,178,1/4/19 16:50,,37,30,0.75,WNW,7,0,30.51,0,Mostly Cloudy
,178.5,1/4/19 17:05,,,,,,,,,,
,179,1/4/19 17:20,,37,30,0.75,W,8,0,30.48,0,Mostly Cloudy
,179.5,1/4/19 17:35,,,,,,,,,,
,180,1/4/19 17:50,,37,32,0.81,W,9,0,30.48,0,Mostly Cloudy
,180.5,1/4/19 18:05,,,,,,,,,,
,181,1/4/19 18:20,,37,32,0.81,W,7,0,30.48,0,Mostly Cloudy
,181.5,1/4/19 18:35,,,,,,,,,,
,182,1/4/19 18:50,,37,32,0.81,W,9,0,30.48,0,Mostly Cloudy
,182.5,1/4/19 19:05,,,,,,,,,,
,183,1/4/19 19:20,,37,34,0.87,W,9,0,30.48,0,Light Drizzle
,183.5,1/4/19 19:35,,,,,,,,,,
,184,1/4/19 19:50,,37,34,0.87,W,9,0,30.48,0,Light Drizzle
,184.5,1/4/19 20:05,,,,,,,,,,
,185,1/4/19 20:20,,37,34,0.87,W,9,0,30.48,0,Light Drizzle
,185.5,1/4/19 20:35,,,,,,,,,,
,186,1/4/19 20:50,,37,36,0.93,W,10,0,30.48,0,Light Drizzle
,186.5,1/4/19 21:05,,,,,,,,,,
,187,1/4/19 21:20,,39,36,0.87,W,13,0,30.45,0,Mostly Cloudy
,187.5,1/4/19 21:35,,,,,,,,,,
,188,1/4/19 21:50,,39,36,0.87,W,10,0,30.45,0,Light Drizzle
,188.5,1/4/19 22:05,,,,,,,,,,
,189,1/4/19 22:20,,39,36,0.87,W,9,0,30.45,0,Light Drizzle
,189.5,1/4/19 22:35,,,,,,,,,,
,190,1/4/19 22:50,,39,37,0.93,W,9,0,30.45,0,Mostly Cloudy
,190.5,1/4/19 23:05,,,,,,,,,,
,191,1/4/19 23:20,,39,37,0.93,W,12,0,30.45,0,Light Drizzle
,191.5,1/4/19 23:35,,,,,,,,,,
,192,1/4/19 23:50,,39,37,0.93,W,9,0,30.45,0,Light Drizzle
,192.5,1/5/19 0:05,,,,,,,,,,
,193,1/5/19 0:20,,39,37,0.93,W,9,0,30.45,0,Light Drizzle
,193.5,1/5/19 0:35,,,,,,,,,,
,194,1/5/19 0:50,,39,37,0.93,W,10,0,30.42,0,Light Drizzle
,194.5,1/5/19 1:05,,,,,,,,,,
,195,1/5/19 1:20,,39,39,1,W,10,0,30.42,0,Light Drizzle
,195.5,1/5/19 1:35,,,,,,,,,,
,196,1/5/19 1:50,,39,39,1,W,10,0,30.42,0,Light Drizzle
,196.5,1/5/19 2:05,,,,,,,,,,
,197,1/5/19 2:20,,41,39,0.93,W,10,0,30.42,0,Light Drizzle
,197.5,1/5/19 2:35,,,,,,,,,,
,198,1/5/19 2:50,,41,39,0.93,W,10,0,30.42,0,Light Drizzle
,198.5,1/5/19 3:05,,,,,,,,,,
,199,1/5/19 3:20,,41,39,0.93,WNW,8,0,30.42,0,Light Drizzle
,199.5,1/5/19 3:35,,,,,,,,,,
,200,1/5/19 3:50,,41,41,1,WNW,7,0,30.42,0,Light Drizzle
,200.5,1/5/19 4:05,,,,,,,,,,
,201,1/5/19 4:20,,41,41,1,W,7,0,30.42,0,Mist
,201.5,1/5/19 4:35,,,,,,,,,,
,202,1/5/19 4:50,,41,41,1,W,8,0,30.39,0,Mist
,202.5,1/5/19 5:05,,,,,,,,,,
,203,1/5/19 5:20,,41,41,1,WNW,9,0,30.39,0,Mist
,203.5,1/5/19 5:35,,,,,,,,,,
,204,1/5/19 5:50,,43,41,0.93,WNW,9,0,30.39,0,Mostly Cloudy
,204.5,1/5/19 6:05,,,,,,,,,,
,205,1/5/19 6:20,,43,41,0.93,WNW,9,0,30.39,0,Light Drizzle
,205.5,1/5/19 6:35,,,,,,,,,,
,206,1/5/19 6:50,,43,41,0.93,WNW,9,0,30.39,0,Light Drizzle
,206.5,1/5/19 7:05,,,,,,,,,,
